#Source de ce jeu de données : https://coronavirus.politologue.com - Les données proposées dans ce fichier sont une compilation des données proposées par le CSSE (The Johns Hopkins University) https://gisanddata.maps.arcgis.com/apps/opsdashboard/index.html#/bda7594740fd40299423467b48e9ecf6
#Les données de ce fichier sont celles qui sont produites pour générer les graphiques sur https: //coronavirus.politologue.com
#Vous pouvez utiliser ces données sans problème et une référence à https://coronavirus.politologue.com sera appréciable
-----------------------------------------------
#Certains ne respectent pas la demande de ne pas récupérer trop souvent le fichier pour préserver le serveur (cela ne sert à rien de récupérer toutes les 3 min), le fichier présente désormais les 30 derniers jours seulement
#Si vous souhaitez avoir accès à l'ensemble, contactez moi, je n'ai pas le temps de faire la chasse à ceux qui ne respectent pas une certaine éthique, alors je fais en sorte de préserver mes ressources
-----------------------------------------------
Date;Pays;Infections;Deces;Guerisons;TauxDeces;TauxGuerison;TauxInfection
2022-12-09;Pérou;4350513;217624;0;5.00;0.00;95.00
2022-12-09;Népal;1000929;12019;0;1.20;0.00;98.80
2022-12-09;Niger;9434;314;0;3.33;0.00;96.67
2022-12-09;Malawi;88220;2685;0;3.04;0.00;96.96
2022-12-09;Martinique;224468;1071;0;0.48;0.00;99.52
2022-12-09;Macédoine;345067;9591;0;2.78;0.00;97.22
2022-12-09;Monaco;15713;65;0;0.41;0.00;99.59
2022-12-09;Lesotho;34490;706;0;2.05;0.00;97.95
2022-12-09;Laos;217145;758;0;0.35;0.00;99.65
2022-12-09;Saint-Kitts-et-Nevis;6559;46;0;0.70;0.00;99.30
2022-12-09;Japon;25837030;51298;0;0.20;0.00;99.80
2022-12-09;Iran;7560067;144652;0;1.91;0.00;98.09
2022-12-09;Irlande;1682409;8231;0;0.49;0.00;99.51
2022-12-09;Grenade;19636;237;0;1.21;0.00;98.79
2022-12-09;Dominique;15760;74;0;0.47;0.00;99.53
2022-12-09;Colombie;6317010;141881;0;2.25;0.00;97.75
2022-12-09;Suisse;4356582;14147;0;0.32;0.00;99.68
2022-12-09;Belize;69117;688;0;1.00;0.00;99.00
2022-12-09;Brésil;35531716;690677;0;1.94;0.00;98.06
2022-12-09;Burundi;51276;38;0;0.07;0.00;99.93
2022-12-09;Barbade;104416;567;0;0.54;0.00;99.46
2022-12-09;Autriche;5604611;21257;0;0.38;0.00;99.62
2022-12-09;Arménie;445828;8712;0;1.95;0.00;98.05
2022-12-09;Andorre;47446;158;0;0.33;0.00;99.67
2022-12-09;Afrique du Sud;4044761;102550;0;2.54;0.00;97.46
2022-12-09;Vanuatu;11981;14;0;0.12;0.00;99.88
2022-12-09;Vatican;29;0;0;0.00;0.00;100.00
2022-12-09;Ukraine;5652911;118549;0;2.10;0.00;97.90
2022-12-09;Tonga;16182;12;0;0.07;0.00;99.93
2022-12-09;Thaïlande;4711528;33285;0;0.71;0.00;99.29
2022-12-09;Syrie;57412;3163;0;5.51;0.00;94.49
2022-12-09;Sénégal;88887;1968;0;2.21;0.00;97.79
2022-12-09;Arabie Saoudite;826117;9481;0;1.15;0.00;98.85
2022-12-09;Qatar;483552;685;0;0.14;0.00;99.86
2022-12-09;Polynésie Française;77557;649;0;0.84;0.00;99.16
2022-12-09;Nauru;4621;1;0;0.02;0.00;99.98
2022-12-09;Mexique;7156730;330667;0;4.62;0.00;95.38
2022-12-09;Mauritanie;63421;997;0;1.57;0.00;98.43
